阿罗汉,a'luo'han
自然受身,zi'ran'shou'shen
自然所牵随,zi'ran'suo'qian'sui
自然无为,zi'ran'wu'wei
自然相和,zi'ran'xiang'he
自然严整,zi'ran'yan'zheng
自然音乐空中赞言,zi'ran'yin'yue'kong'zhong'zan'yan
自然有是,zi'ran'you'shi
自然在身,zi'ran'zai'shen
自然之有根本,zi'ran'zhi'you'gen'ben
自然中自然相,zi'ran'zhong'zi'ran'xiang
自入三途,zi'ru'san'tu
自身威光,zi'shen'wei'guang
自为过咎,zi'wei'guo'jiu
自为智慧,zi'wei'zhi'hui
自相燋然,zi'xiang'jiao'ran
自相约检,zi'xiang'yue'jian
恣意罪极,zi'yi'zui'ji
资用有无,zi'yong'you'wu
自有三途无量苦恼,zi'you'san'tu'wu'liang'ku'nao
自于其中一心制意,zi'yu'qi'zhong'yi'xin'zhi'yi
自在随意,zi'zai'sui'yi
自在所作不为预计,zi'zai'suo'zuo'bu'wei'yu'ji
自在无碍,zi'zai'wu'ai
自知,zi'zhi
自致不退转,zi'zhi'bu'tui'zhuan
纵广深浅,zong'guang'shen'qian
纵使身止诸苦中,zong'shi'shen'zhi'zhu'ku'zhong
足履其上,zu'lv'qi'shang
最上胜智,zui'shang'sheng'zhi
最上之物,zui'shang'zhi'wu
最胜福田,zui'sheng'fu'tian
最胜之道,zui'sheng'zhi'dao
最为第一,zui'wei'di'yi
最为独胜,zui'wei'du'sheng
最为剧苦,zui'wei'ju'ku
最尊第一,zui'zun'di'yi
尊卑,zun'bei
尊卑中外,zun'bei'zhong'wai
尊超群圣,zun'chao'qun'sheng
尊贵自大,zun'gui'zi'da
尊圣敬善,zun'sheng'jing'shan
尊者阿难,zun'zhe'a'nan
尊者阿难等,zun'zhe'a'nan'deng
尊者大目犍连,zun'zhe'da'mu'jian'lian
尊者迦叶,zun'zhe'jia'ye
尊者憍陈如,zun'zhe'jiao'chen'ru
尊者舍利弗,zun'zhe'she'li'fu
尊重奉事诸佛,zun'zhong'feng'shi'zhu'fo
尊重供养,zun'zhong'gong'yang
尊重听闻,zun'zhong'ting'wen
作阿阇黎,zuo'a'she'li
作阿惟越致菩萨,zuo'a'wei'yue'zhi'pu'sa
作大福田,zuo'da'fu'tian
作大利乐,zuo'da'li'le
作大守护,zuo'da'shou'hu
作得善愿,zuo'de'shan'yuan
作妙音乐,zuo'miao'yin'yue
作菩萨者,zuo'pu'sa'zhe
作如是说,zuo'ru'shi'shuo
做事仓卒,zuo'shi'cang'zu
作是语时,zuo'shi'yu'shi
作师子吼,zuo'shi'zi'hou
作斯示现,zuo'si'shi'xian
作诸功德,zuo'zhu'gong'de
